2pyy (Set 1/148) was re-resolved by Greg Warren (OpenEye).  A key arginine side chain
had poor agreement with the local density.  By moving the side chains and re-solving,
Greg improved its fit to density and its complement of the ligand.

345 STRUCTURES HAVE BEEN KEPT AFTER THE REMEDIATION

Set	Number	PDBid	Protein
1	1	1w6o	GALECTIN-1
1	2	2arb	lectin
1	3	2are	lectin
1	5	2oag	Dipeptidyl peptidase 4
1	6	2jbj	GLUTAMATE CARBOXYPEPTIDASE 2
1	7	2pwd	Sucrose isomerase
1	8	2pwg	Sucrose isomerase
1	9	2oym	Endoglycoceramidase II
1	13	2hzy	Fumarylacetoacetase
1	14	2ihj	Alpha-2,3/2,6-sialyltransferase/sialidase
1	15	2cli	TRYPTOPHAN SYNTHASE ALPHA AND BETA CHAINS
1	17	2ojg	Mitogen-activated protein kinase 1
1	18	2hzl	TRAP-T family sorbitol/mannitol transporter, periplasmic binding protein, SmoM
1	20	2ovv	Phosphodiesterase-10A
1	21	2h6t	Candidapepsin-3
1	23	2nta	Tyrosine-protein phosphatase non-receptor type 1
1	25	2isw	Putative fructose-1,6-bisphosphate aldolase
1	26	2qu6	Vascular endothelial growth factor receptor 2
1	33	2pog	Estrogen receptor
1	34	2o4j	Vitamin D3 receptor
1	39	3b92	ADAM 17
1	41	2p98	Methionine aminopeptidase
1	42	2z4b	Estrogen receptor beta
1	43	2jj3	ESTROGEN RECEPTOR BETA
1	46	2h15	Carbonic anhydrase 2
1	47	2pov	Carbonic anhydrase 2
1	48	2pow	Carbonic anhydrase 2
1	49	2nmx	Carbonic anhydrase 1
1	51	1vso	Glutamate receptor, ionotropic kainate 1
1	52	2p95	Factor Xa
1	53	2p16	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor)
1	54	2jfz	GLUTAMATE RACEMASE
1	55	2flr	Tissue factor/Coagulation factor VII
1	56	2d2v	hypothetical protein slr0953
1	58	2b1q	hypothetical protein slr0953
1	59	2pgz	Soluble acetylcholine receptor
1	60	2bys	ACETYLCHOLINE-BINDING PROTEIN
1	61	2gkl	Beta-lactamase
1	63	2nsl	Phosphoribosylaminoimidazole carboxylase catalytic subunit
1	64	2nsj	Phosphoribosylaminoimidazole carboxylase catalytic subunit
1	65	2c92	6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE
1	66	2c94	6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE
1	68	2nnq	Fatty acid-binding protein, adipocyte
1	71	2psv	Protease
1	73	2cem	POL PROTEIN
1	74	2cen	POL PROTEIN
1	75	2q54	Protease
1	77	2p09	a non-biological ATP binding protein with two mutations N32D and D65V
1	78	2b3f	glucose-binding protein
1	79	2bbf	tRNA guanine transglycosylase
1	81	2e2r	Estrogen-related receptor gamma
1	82	2gz2	Aspartate beta-semialdehyde dehydrogenase
1	83	2hr6	Deoxyuridine 5'-triphosphate nucleotidohydrolase
1	86	2idz	Enoyl-[acyl-carrier-protein] reductase [NADH]
1	87	2ihk	Alpha-2,3/2,6-sialyltransferase/sialidase
1	88	2ilz	poliovirus polymerase
1	91	2jff	UDP-N-ACETYLMURAMOYLALANINE--D-GLUTAMATE LIGASE
1	92	2oiq	Proto-oncogene tyrosine-protein kinase Src
1	93	2otz	Lysozyme
1	94	2ou0	Lysozyme
1	96	2pjo	Ricin (EC 3.2.2.22)
1	97	2pzv	Steroid Delta-isomerase
1	98	2q3c	Cysteine synthase A
1	99	2q88	Putative ABC transporter amino acid-binding protein
1	100	2q89	Putative ABC transporter amino acid-binding protein
1	102	2qeh	D7R4 Protein
1	103	2qvu	Fructose-1,6-bisphosphatase 1
1	104	2r3d	Ricin A chain (EC 3.2.2.22)
1	105	2r5p	Protease
1	106	2rde	Uncharacterized protein VCA0042
1	107	2v8q	5'-AMP-ACTIVATED PROTEIN KINASE SUBUNITS ALPHA-1 , BETA-2, AND GAMMA-1
1	108	3b50	Sialic acid-binding periplasmic protein siaP
1	109	3bgq	Proto-oncogene serine/threonine-protein kinase Pim-1
1	110	3bgz	Proto-oncogene serine/threonine-protein kinase Pim-1
1	111	2v8y	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E
1	113	2jgb	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E TYPE 2
1	114	1gja	UROKINASE-TYPE PLASMINOGEN ACTIVATOR
1	116	1swk	CORE-STREPTAVIDIN
1	117	1ax1	LECTIN
1	119	1toi	Aspartate aminotransferase
1	120	1iup	meta-Cleavage product hydrolase
1	121	1tog	Aspartate aminotransferase
1	122	1uto	TRYPSINOGEN
1	123	1ukb	2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase
1	124	1q72	Fab M82G2, Heavy and Light chains
1	126	2cjp	EPOXIDE HYDROLASE
1	127	1vot	ACETYLCHOLINESTERASE
1	128	2fx6	Trypsin
1	129	2add	fructan 1-exohydrolase IIa
1	130	2c1q	BIOTIN BINDING PROTEIN A
1	131	2e2p	HEXOKINASE
1	132	2epn	N-acetyl-beta-D-glucosaminidase
1	133	2i2c	Probable inorganic polyphosphate/ATP-NAD kinase 1
1	134	2j4k	URIDYLATE KINASE
1	136	2jdu	FUCOSE-BINDING LECTIN PA-IIL
1	137	2jdy	FUCOSE-BINDING LECTIN PA-IIL
1	139	2jke	ALPHA-GLUCOSIDASE (ALPHA-GLUCOSIDASE SUSB)
1	141	2p3t	Coagulation factor X
1	143	2p4y	Peroxisome proliferator-activated receptor gamma
1	144	2p7g	Estrogen-related receptor gamma
1	145	2pqc	3-phosphoshikimate 1-carboxyvinyltransferase
1	147	2pvu	ArtJ
1	148	2pyy(*)	Ionotropic glutamate receptor bacterial homologue
1	149	2q6m	Cholix toxin
1	150	2q8z	Orotidine-monophosphate-decarboxylase
1	151	2qbq	Tyrosine-protein phosphatase non-receptor type 1
1	152	2qbr	Tyrosine-protein phosphatase non-receptor type 1
1	153	2qbs	Tyrosine-protein phosphatase non-receptor type 1
1	154	2qdt	Metallo-beta-lactamase L1
1	155	2qhy	Protease
1	156	2qhz	Protease
1	157	2qi1	Protease
1	158	2qi3	Protease
1	159	2qi4	Protease
1	160	2qi5	Protease
1	161	2qi6	Protease
1	162	2qmg	Beta-secretase 1
1	163	2qmj	Maltase-glucoamylase, intestinal
1	164	2qnq	Gag-Pol polyprotein (Pr160Gag-Pol)
1	167	2qrl	Saccharopine dehydrogenase, NAD+, L-lysine-forming
1	168	2qry	Thiamine-binding periplasmic protein
1	169	2r6w	Estrogen receptor
1	170	2r75	Cell division protein ftsZ
1	173	2rca	Glutamate [NMDA] receptor subunit 3B
1	174	2reg	PUTATIVE GLYCINE BETAINE-BINDING ABC TRANSPORTER PROTEIN
1	175	2rkd	Phosphoenolpyruvate carboxykinase, cytosolic [GTP]
1	177	2uwl	COAGULATION FACTOR X
1	178	2uwp	COAGULATION FACTOR X
1	179	2uy4	ENDOCHITINASE
1	180	2v2c	TRIOSEPHOSPHATE ISOMERASE GLYCOSOMAL
1	181	2v77	CARBOXYPEPTIDASE A1
1	182	2v7t	5'-FLUORO-5'-DEOXYADENOSINE SYNTHASE
1	183	2v7u	5'-FLUORO-5'-DEOXY ADENOSINE SYNTHETASE
1	184	2v7v	5'-FLUORO-5'-DEOXYADENOSINE SYNTHASE
1	187	2vhw	ALANINE DEHYDROGENASE
1	189	2vkm	BETA-SECRETASE 1
1	191	2vmd	DISCOIDIN-2
1	193	2vpn	PERIPLASMIC SUBSTRATE BINDING PROTEIN
1	194	2vuk	CELLULAR TUMOR ANTIGEN P53
1	195	2vw5	ATP-DEPENDENT MOLECULAR CHAPERONE HSP82
1	196	2w26	ACTIVATED FACTOR XA HEAVY CHAIN
1	197	2z8f	Galacto-N-biose/lacto-N-biose I transporter substrate-binding protein
1	198	2zlz	Glutamyl-Q tRNA(Asp) synthetase
1	199	2zmm	Tyrosine-protein phosphatase non-receptor type 1
1	200	2zn7	Tyrosine-protein phosphatase non-receptor type 1
1	201	3b3c	Bacterial leucyl aminopeptidase
1	203	3b7r	Leukotriene A-4 hydrolase
1	204	3bex	Type III pantothenate kinase
1	206	3bl0	Carbonic anhydrase 2
1	207	3brn	Lipocalin
1	208	3bu1	Lipocalin
1	210	3bxe	Central glycolytic gene regulator
1	212	3c2f	Nicotinate-nucleotide pyrophosphorylase
1	213	3c2o	Nicotinate-nucleotide pyrophosphorylase
1	214	3c2r	Nicotinate-nucleotide pyrophosphorylase
1	215	3c7i	Growth factor receptor-bound protein 2
1	216	3ccw	3-hydroxy-3-methylglutaryl-coenzyme A reductase
1	217	3ccz	3-hydroxy-3-methylglutaryl-coenzyme A reductase
1	218	3cd7	3-hydroxy-3-methylglutaryl-coenzyme A reductase
1	222	3czv	Carbonic anhydrase 13
1	225	3d2r	[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4
1	226	3d51	Alpha-mannosidase 2
1	227	3d83	Mitogen-activated protein kinase 14
1	228	3ddg	alpha-mannosidase 2
1	229	3dp4	Glutamate receptor 3
1	230	3e92	Mitogen-activated protein kinase 14
1	232	3eko	Heat shock protein HSP 90-alpha
1	233	3ekr	Heat shock protein HSP 90-alpha
1	234	3ene	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
1	235	3eqr	Activated CDC42 kinase 1
1	237	3f3d	Transporter
1	238	3f48	Transporter
1	239	3f4j	Transporter
1	240	3f8c	Transcriptional regulator, PadR-like family
1	241	3fat	Glutamate receptor 4
1	242	3fas	Glutamate receptor 4
2	1	10gs	GLUTATHIONE S-TRANSFERASE P1-1
2	2	1a8i	GLYCOGEN PHOSPHORYLASE B
2	3	1a99	PUTRESCINE-BINDING PROTEIN
2	4	1ax0	LECTIN
2	5	1b6j	RETROPEPSIN
2	6	1b6l	RETROPEPSIN
2	7	1b6m	RETROPEPSIN
2	18	1duv	ORNITHINE TRANSCARBAMOYLASE
2	19	1dy4	CELLOBIOHYDROLASE I
2	20	1e2k	THYMIDINE KINASE
2	23	1fcx	RETINOIC ACID RECEPTOR GAMMA-1
2	26	1fh8	BETA-1,4-XYLANASE
2	27	1fh9	BETA-1,4-XYLANASE
2	28	1fhd	BETA-1,4-XYLANASE
